Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Ghostbusters: The Video Game Remastered,"Terminal Reality, Inc.",Saber Interactive Incorporated,04/Out/2019,,[2402]
One Night Stand,,Ratalaika Games,04/Out/2019,,[2403]
The Tiny Bang Story,,Ellada Games,04/Out/2019,,[2404]
Teddy Gangs,,Sabec,04/Out/2019,,[2405]
Rimelands: Hammer of Thor,Kyy Games,QubicGames,04/Out/2019,,[2406]
Pet Shop Snacks,,Cool Small Games,04/Out/2019,,[2407]
Double Switch - 25th Anniversary Edition,,Limited Run Games,05/Out/2019,,[2408]
Yooka-Laylee and the Impossible Lair,Playtonic Games,Team17 Digital Ltd,07/Out/2019,,[2409]
Minefield,,Kodobur Yazilim,07/Out/2019,,[2410]
Trine 4: The Nightmare Prince,Frozenbyte,Modus Games,08/Out/2019,,[2411][2073]
BurgerTime Party!,,Marvelous (XSEED),08/Out/2019,,[2412]
The Alliance Alive HD Remastered,FuRyu,NIS America,08/Out/2019,,[2413]
Asphalt 9: Legends,Gameloft S.E.,Gameloft,08/Out/2019,F2P,[2414]
Eternal Card Game,Dire Wolf Digital,Dire Wolf Digital,08/Out/2019,F2P,[2415]
Worse Than Death,Benjamin Rivers,Benjamin Rivers,08/Out/2019,,[2416]
Battlestar Galactica Deadlock,Black Lab Games / Slitherine Ltd.,Slitherine Software,08/Out/2019,,[2417]
Reventure,Pixelatto,Pixelatto,08/Out/2019,,[2418]
Call of Cthulhu,Saber3D,Focus Home Interactive,08/Out/2019,,[2419]
A Winter's Daydream,Sometimes You,Sometimes You,08/Out/2019,,[2420]
Dodge Hard,ikinagames / Vanguard,ikinagames / Vanguard,08/Out/2019,,[2421]
Aldred Knight,QUByte Interactive,QUByte Interactive,08/Out/2019,,[2422]
Stellatum,Sometimes You,Sometimes You,09/Out/2019,,[2423]
Mistover,Krafton,Krafton,09/Out/2019,,[2424]
Desktop Dodgeball,SAT-BOX,SAT-BOX,10/Out/2019,,[2425]
Valfaris,Steel Mantis,Merge Games,10/Out/2019,,[2426]
Pocket Stables,,Kairosoft,10/Out/2019,,[2427]
Contraptions,,Funbox Media,10/Out/2019,,[2428]
A Knight's Quest,,Curve Digital,10/Out/2019,,[2429]
Mable & The Wood,Triplevision Games,Graffiti Games,10/Out/2019,,[2430]
Little Briar Rose,Elf Games,Elf Games,10/Out/2019,,[2431]
The Bradwell Conspiracy,A Brave Plan,Bossa Studios,10/Out/2019,,[2432]
Midnight Evil,,iFun4all,10/Out/2019,,[2433]
Eliza,,Alliance,10/Out/2019,,[2434]
Queen's Quest 4: Sacred Truce,Artifex Mundi,Artifex Mundi,10/Out/2019,,[2435]
Mah-jongg Puzzle Pai-Sen,Hautecouture,Hautecouture,10/Out/2019,,[2436]
Secret Files Sam Peters,Animation Arts Creative GmbH,Koch Media,10/Out/2019,,[2437]
Duped,No Moss Studios,No Moss Studios,10/Out/2019,,[2438]
Corpse Party: Blood Drive,,Marvelous (XSEED),10/Out/2019,,[2439]
Bibi & Tina at the Horse Farm,Independent Arts Software GmbH,Treva,10/Out/2019,,[2440]
Family Tree,Infinite State Games,eastasiasoft,10/Out/2019,,[2441]
CrunchTime,,Navila Software Japan,10/Out/2019,,[2442]
River City Melee Mach!!,Arc System Works,Arc System Works,10/Out/2019,,[2443]
Spirit Hunter: NG,,Aksys Games,10/Out/2019,,[2444]
Monochrome Order,"Hit-Point Co., Ltd.",Kemco,10/Out/2019,,[2445]
BDSM: Big Drunk Satanic Massacre,Big Way Games,Big Way Games,10/Out/2019,,[2446]
AeternoBlade II,"Corecell Technology Co., Ltd.",Corecell Technology,11/Out/2019,,[2447]
Killer Queen Black,"Liquid Bit, LLC","Liquid Bit, LLC",11/Out/2019,BR,[2448]
Doraemon Story of Seasons,Marvelous/Brownies,Bandai Namco Entertainment,11/Out/2019,,[2449]
Silk,,Huey Games,11/Out/2019,,[2450]
Beast Quest,Torus Games,Maximum Games,11/Out/2019,,[2451]
Shipped,Majorariatto,QubicGames,11/Out/2019,,[2452]
Super Box Land Demake,lightUp,Ratalaika Games,11/Out/2019,,[2453]
Puzzle Book,,QubicGames,11/Out/2019,,[2454]
Alchemist's Castle,Kodobur Yazilim,Kodobur Yazilim,13/Out/2019,,[2455]
Overwatch: Legendary Edition,Blizzard Entertainment,Blizzard Entertainment,15/Out/2019,BR,[2456]
The Witcher 3: Wild Hunt — Complete Edition,CD PROJEKT,CD PROJEKT,15/Out/2019,BR,[2457]
Billy Bomber,,Ultimate Games,15/Out/2019,,[2458]
Baldur's Gate and Baldur's Gate II: Enhanced Editions,Beamdog,Beamdog,15/Out/2019,,[2459]
Planescape: Torment and Icewind Dale: Enhanced Editions,Beamdog,Beamdog,15/Out/2019,,[2460]
Zombieland: Double Tap - Road Trip,High Voltage Software,GameMill Entertainment,15/Out/2019,,[2461]
Override: Mech City Brawl – Super Charged Mega Edition,,Modus Games,15/Out/2019,,[2462]
The Ninja Saviors: Return of the Warriors,NatsumeAtari,ININ Games,15/Out/2019,,[2463]
The Eyes of Ara,100 Stones Interactive,100 Stones Interactive,15/Out/2019,,[2464]
Roof Rage,Early Melon,Early Melon,16/Out/2019,,[2465]
Little Town Hero,Game Freak,Game Freak,16/Out/2019,,[2466]
Gleaner Heights,Emilios Manolidis,ManolidisAimilios,16/Out/2019,,[2467]
Desktop Rugby,SAT-BOX,SAT-BOX,17/Out/2019,,[2468]
Battle Planet - Judgement Day,Threaks GmbH,EuroVideo Medien GmbH,17/Out/2019,,[2469]
Stranded Sails - Explorers of the Cursed Islands,,Merge Games,17/Out/2019,,[2470]
Felix The Reaper,Kong Orange ApS,Daedalic GmbH,17/Out/2019,,[2471]
Summer Sweetheart,,,17/Out/2019,,[2472]
Miniature - The Story Puzzle,Run-Down Games,Run-Down Games,17/Out/2019,,[2473]
Kine,Gwen Frey,Chump Squad,17/Out/2019,,[2474]
Where the Bees Make Honey,Wakefield Interactive,Whitethorn Digital,17/Out/2019,,[2475]
Sea Salt,,YCJY Games,17/Out/2019,,[2476]
The Jackbox Party Pack 6,Jackbox Games,Jackbox Games,17/Out/2019,,[2477]
MilkChoco,,GameParadiso,17/Out/2019,,[2478]
Sublevel Zero Redux,,Coatsink Software,17/Out/2019,,[2479]
Rabi-Ribi,,Circle Ent.,17/Out/2019,,[2480]
Domiverse,,,17/Out/2019,,[2481]
Rawr-Off,Yokai Games,No Gravity Games,18/Out/2019,,[2482]
StarBlox Inc.,,IlluminationGames,18/Out/2019,,[2483]
Return of the Obra Dinn,3909,3909,18/Out/2019,BR,[2484]
A Hat in Time,Gears for Breakfast,Humble Bundle,18/Out/2019,,[2485]
ZikSquare,TOMAGameStudio,TOMAGameStudio,18/Out/2019,,[2486]
Ring Fit Adventure,Nintendo,Nintendo,18/Out/2019,,[2487]
Home Sheep Home: Farmageddon Party Edition,Aardman Animations,Aardman Animations,18/Out/2019,,[2488]
Worbital,Team Jolly Roger,TJR Games,18/Out/2019,,[2489]
Ice Age Scrat's Nutty Adventure!,Just Add Water Ltd.,Outright Games,18/Out/2019,,[2490]
Megaquarium,Auroch Digital,Auroch Digital,18/Out/2019,,[2491]
Just Ignore Them,Stranga Games,Ratalaika Games,18/Out/2019,,[2492]
Safari Pinball,,SuperPowerUpGames,18/Out/2019,,[2493]
Digimon Story Cyber Sleuth: Complete Edition,,Bandai Namco Entertainment,18/Out/2019,,[2494]
Pig Eat Ball,Mommys Best Games,Mommys Best Games,18/Out/2019,,[2495]
Tower Climb,11Sheep,11Sheep,20/Out/2019,,[2496]
Monaco: Complete Edition,Pocketwatch Games,Pocketwatch Games,21/Out/2019,,[2497]
Street Outlaws: The List,GameMill Entertainment,GameMill Entertainment,22/Out/2019,,[2498]
Skullgirls 2nd Encore,,Skybound Games,22/Out/2019,,[2499]
Mary Skelter 2,Idea Factory / Compile Heart,Idea Factory,22/Out/2019,,[2500]
Destiny Connect: Tick-Tock Travelers,Nippon Ichi Software,NIS America,22/Out/2019,,[2501]
PBA Pro Bowling,Farsight Studios,Farsight Studios,22/Out/2019,,[2502]
The Park,,Funcom Oslo,22/Out/2019,,[2503]
Tangle Tower,SFB Games,SFB Games,22/Out/2019,,[2504]
Day and Night,Ridiculous Games,Ridiculous Games,22/Out/2019,,[2505]
Raging Loop,Kemco,Pqube,22/Out/2019,,[2506]
The Legend of Dark Witch,,Inside System,24/Out/2019,,[2507]
HAUNTED: Halloween '86,Retrotainment Games,Retrotainment Games,24/Out/2019,,[2508]
Dark Devotion,,The Arcade Crew,24/Out/2019,,[421]
Ghost Blade HD,Hucast Games \ 2Dream,eastasiasoft,24/Out/2019,,[2509]
Lethis - Path of Progress,,Plug In Digital,24/Out/2019,,[2510]
Cat Quest II,The Gentlebros,PQube,24/Out/2019,,[2511]
Vortex Attack EX,KaleidoGames,KaleidoGames,24/Out/2019,,[2512]
Tennis Go,,Sabec,24/Out/2019,,[2513]
Winter Sports Games,,Joindots,24/Out/2019,,[2514]
Anthill,,Thunderful,24/Out/2019,,[2515]
Dark Veer,Forever Entertainment,Forever Entertainment,24/Out/2019,,[2516]
〇× Logic Puzzle 1000!,,Success,24/Out/2019,,[2517]
Creepy Brawlers,Mega Cat Studios,Mega Cat Studios,24/Out/2019,,[2518]
Fear of Traffic,Flavio Rausa,BitService,24/Out/2019,,[2519]
Ultra Off-Road 2019: Alaska,IceTorch Interactive,Ultimate Games,25/Out/2019,,[2520]
Soul Searching,Kayabros,QubicGames,25/Out/2019,,[2521]
Deep Space Rush,BUG-Studio,Ratalaika Games,25/Out/2019,,[2522]
Pixel Gladiator,,Drageus Games,25/Out/2019,,[2523]
Into the Dead 2,PikPok,Versus Evil,25/Out/2019,,[2524]
Let's Sing Country,Voxler Games,Koch Media,25/Out/2019,,[2525]
Jewel Rotation,,Sprakelsoft,25/Out/2019,,[2526]
Pizza Bar Tycoon,,Baltoro Games,25/Out/2019,,[2527]
Horror Pinball Bundle,SuperPowerUpGames,SuperPowerUpGames,25/Out/2019,,[2528]
Party Treats,Digital Melody,QubicGames,25/Out/2019,,[2529]
Xeno Crisis,Bitmap Bureau,Bitmap Bureau,28/Out/2019,,[2530]
Mountain Rescue Simulator,,United Independent Entertainment,28/Out/2019,,[2531]
Door Kickers: Action Squad,Killhouse Games \ PixelShard,Killhouse Games,28/Out/2019,,[2532]
Polyroll,Spicy Gyro Games \ Shiny Dolphin Games,HOF Studios,29/Out/2019,,[2533]
Atelier Ryza: Ever Darkness & the Secret Hideout,,Koei Tecmo America,29/Out/2019,,[2534]
Resident Evil 5,Capcom,Capcom,29/Out/2019,,[2535][2536]
Resident Evil 6,Capcom,Capcom,29/Out/2019,,[2537][2536]
Disgaea 4 Complete+,Nippon Ichi Software,NIS America,29/Out/2019,,[2538]
Disney Classic Games: Aladdin and The Lion King,,Disney Interactive,29/Out/2019,,[2539]
Dusk Diver,,Pqube,29/Out/2019,,[2540]
Vampyr,Saber Interactive,Focus Home Interactive,29/Out/2019,,[2541]
Earthfall: Alien Horde,Nimble,Nimble,29/Out/2019,,[2542]
Close to the Sun,Storm in a Teacup,Wired Productions,29/Out/2019,,[2543]
Harvest Moon: Mad Dash,APPCI,Natsume,29/Out/2019,,[2544]
Super Monkey Ball: Banana Blitz HD,Sega,Sega,29/Out/2019,,[2545]
Spaceland,Tortuga Team,Ellada Games,30/Out/2019,,[2546]
Agony,Madmind Studio \ Megapixel Studio,Forever Entertainment,31/Out/2019,,[2547]
64.0,rebel rabbit,rebel rabbit,31/Out/2019,,[2548]
Ghost Parade,Lentera Nusantara Studio Corporation,Aksys Games,31/Out/2019,,[2549]
The Wardrobe: Even Better Edition,CINIC Games,CINIC Games,31/Out/2019,,[2550]
Luigi’s Mansion 3,Next Level Games,Nintendo,31/Out/2019,BR,[2551]
The Big Journey,Konstructors Entertainment,Nestor Yavorskyy,31/Out/2019,,[2552]
Flan,AECRNIA,AnelaGamesStudio,31/Out/2019,,[2553]
Sky Gamblers: Storm Raiders 2,Atypical Games,Atypical Games,31/Out/2019,,[2554]
Otokomizu,,BIG BOYS STUDIO,31/Out/2019,,[2555]
Yuri,Fingerlab,Fingerlab,31/Out/2019,,[2556]
Mononoke Slashdown,,Arc System Works,31/Out/2019,,[2557]
Twister Road,Digital Game Group,Dispatch Games,01/Nov/2019,,[2558]
Delta Squad,Eskema Games,Ratalaika Games,01/Nov/2019,,[2559]
Spirit Roots,,Drageus Games,01/Nov/2019,,[2560]
Perseverance,,Cool Small Games,01/Nov/2019,,[2561]
Truck Simulator USA,SC Ovilex Soft,SC Ovilex Soft,01/Nov/2019,,[2562]
Windmill Kings,Bigosaur,Bigosaur,01/Nov/2019,,[2563]
Race with Ryan,,Outright Games,01/Nov/2019,,[2564]
Mario & Sonic at the Olympic Games Tokyo 2020,Sega,Sega,05/Nov/2019,BR,[2565]
Ships,Ultimate Games,Ultimate Games,05/Nov/2019,,[2566]
Just Dance 2020,,Ubisoft,05/Nov/2019,BR,[2567]
The Lord of the Rings: Adventure Card Game,Fantasy Flight Interactive,Asmodee Digital,05/Nov/2019,,[2568]
Construction Simulator 2 US - Console Edition,,astragon,06/Nov/2019,,[2569]
Super Street: Racer,,Funbox Media,07/Nov/2019,,[2570]
Animus: Harbinger,TENBIRDS,TROOOZE,07/Nov/2019,,[2571]
Meanders,FraZack,FrancescoZacchini,07/Nov/2019,,[2572]
Incredible Mandy,,Circle Ent.,07/Nov/2019,,[2573]
Asdivine Kamura,Exe Create,Kemco,07/Nov/2019,,[2574]
Headsnatchers,IguanaBee,Iceberg Interactive,07/Nov/2019,,[2575]
Tokyo Dark: Remembrance,MEBIUS,Unties,07/Nov/2019,,[2576]
Puzzlement,gamebra.in,gamebra.in,07/Nov/2019,,[2577]
"Stay Cool, Kobayashi-San!: A River City Ransom Story",Arc System Works,Arc System Works,07/Nov/2019,,[2578]
Monkey Barrels,Good-Feel,Good-Feel,07/Nov/2019,,[2579]
The Grisaia Trilogy,,PROTOTYPE,07/Nov/2019,,[2580]
Juicy Realm,SpaceCan Studio,X.D. Network,07/Nov/2019,,[2581]
Skybolt Zack,DEVS MUST DIE,GMG Label,07/Nov/2019,,[2582]
Ritual: Crown of Horns,Draw Distance,Feardemic,07/Nov/2019,,[2583]
Strange Telephone,HZ3 Software,PLAYISM,07/Nov/2019,,[2584]
The Manga Works,,Kairosoft,07/Nov/2019,,[2585]
Disney Tsum Tsum Festival,,Bandai Namco Entertainment,08/Nov/2019,,[2586]
New Super Lucky's Tale,Playful,Playful,08/Nov/2019,BR,[2587]
The Stretchers,Tarsier Studios,Nintendo,08/Nov/2019,BR,[2588]
Sturmwind EX,b-alive,b-alive,08/Nov/2019,,[2589]
Blindy,Radoslaw Felich,Ultimate Games,08/Nov/2019,,[2590]
Football Game,Cloak and Dagger Games,Ratalaika Games,08/Nov/2019,,[2591]
One Person Story,,Drageus Games,08/Nov/2019,,[2592]
REKT! High Octane Stunts,Little Chicken Game Company,QubicGames,08/Nov/2019,,[2593]
Jumanji: The Video Game,Funsolve Ltd,Outright Games,08/Nov/2019,,[2594]
House of Golf,Atomicom,Atomicom,08/Nov/2019,,[2595]
Rally Road,Digital Game Group,Dispatch Games,08/Nov/2019,,[2596]
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy - Deluxe Edition,LEVEL-5,LEVEL-5,08/Nov/2019,,[2597]
Romancing SaGa 3,ArtePiazza,Square Enix,11/Nov/2019,,[2598]
The Mims Beginning,Squatting Penguins,Ultimate Games,11/Nov/2019,,[2599]
Yaga,Breadcrumbs Interactive,Versus Evil,12/Nov/2019,,[2600]
Zen Chess Collection,QUByte Interactive,QUByte Interactive,12/Nov/2019,,[2601]
Mad Games Tycoon,Eggcode \ Raylight Games,Toplitz Productions,12/Nov/2019,,[2602]
Thief of Thieves: Season One,,Rival Games,12/Nov/2019,,[2603]
Bee Simulator,VARSAV,Bigben Interactive,12/Nov/2019,,[2604]
Draw Chilly,,Hypetrain Digital,12/Nov/2019,,[2605]
holedown,,webbfarbror,13/Nov/2019,,[2606]
League of the Shield,Noobology,NoobO Games,13/Nov/2019,,[2607]
Squidgies Takeover,GiantMargarita,GiantMargarita,14/Nov/2019,,[2608]
Rocket Wars,Rooftop Panda,Rooftop Panda,14/Nov/2019,,[2609]
Overlanders,Run-Down Games,Run-Down Games,14/Nov/2019,,[2610]
Cube Creator X,Big John Games,Big John Games,14/Nov/2019,,[2611]
Perils of Baking,Lillymo Games,eastasiasoft,14/Nov/2019,,[2612]
Scarlett Mysteries: Cursed Child,Artifex Mundi,Artifex Mundi,14/Nov/2019,,[2613]
Labyrinth of the Witch,Orange Cube,Orange Cube,14/Nov/2019,,[2614]
Groove Coaster Wai Wai Party!!!!,,Taito,14/Nov/2019,,[2615]
Balthazar's Dream,,Dolores Ent.,14/Nov/2019,,[2616]
Sudoku Relax 3 Autumn Leaves,G-MODE,G-MODE,14/Nov/2019,,[2617]
Sparklite,RedBlue Games,Merge Games,14/Nov/2019,,[2618]
Some Distant Memory,Galvanic Games,Way Down Deep,14/Nov/2019,,[2619]
Galactic Defence Squadron,,4MB Interactive,14/Nov/2019,,[2620]
Fractured Minds,Emily M Games,Wired Productions,14/Nov/2019,,[2621]
Push the Crate,,Polygon Art,14/Nov/2019,,[2622]
Go! Fish Go!,,Cool Small Games,15/Nov/2019,,[2623]
Color.Motif Deluxe,Kodobur Yazilim,Kodobur Yazilim,15/Nov/2019,,[2624]
Pokémon Sword,Game Freak,Nintendo,15/Nov/2019,BR,[2625][2626][2627]
Pokémon Shield,Game Freak,Nintendo,15/Nov/2019,BR,[2628][2626][2627]
Tactical Mind 2,,Drageus Games,15/Nov/2019,,[2629]
Biolab Wars,Kolibri Game Studio / Forever Entertainment,Forever Entertainment,15/Nov/2019,,[2630]
Woven,,StickyLock,15/Nov/2019,,[2631]
Mars Power Industries,7A Games,SONKA,15/Nov/2019,,[2632]
Lots of Slots,Digital Game Group,Dispatch Games,15/Nov/2019,,[2633]
Raining Blobs,Endi Milojkoski,Black Shell Media,15/Nov/2019,,[2634]
Bloo Kid 2,winterworks,Headup Games,18/Nov/2019,,[2635]
The Unicorn Princess,,Bigben Interactive,19/Nov/2019,,[2636]
WRC 8 FIA World Rally Championship,KT Racing,Bigben Interactive,19/Nov/2019,,[2637]
Garfield Kart Furious Racing,Artefacts Studio,Microids,19/Nov/2019,,[2638]
True Fear: Forsaken Souls - Part 2,Digital Lounge,Digital Lounge,19/Nov/2019,,[2639]
Zumba Burn It Up!,Kuju Ltd,505 Games,19/Nov/2019,,[2640]
Munchkin: Quacked Quest,,Asmodee Digital,19/Nov/2019,,[2641]
Bouncy Bob 2,MadGamesmith,Ultimate Games,20/Nov/2019,,[2642]
Still There,GhostShark,Iceberg Interactive,20/Nov/2019,,[2643]
Children of Morta,Dead Mage,11 bit studios,20/Nov/2019,,[2644]
Baobabs Mausoleum Ep.3: Un Pato en Muertoburgo,,Zerouno Games,21/Nov/2019,,[2645]
Narcos: Rise of the Cartels,Kuju Entertainment Ltd.,Curve Digital,21/Nov/2019,,[2646]
The Touryst,Shin'en Multimedia,Shin'en Multimedia,21/Nov/2019,,[2647]
Black Future '88,SuperScarySnakes,Gambitious,21/Nov/2019,,[2648]
SoccerDie: Cosmic Cup,Pipeworks Studios,Pipeworks Studios,21/Nov/2019,,[2649]
Green The Life Algorithm,Estacion PI \ Diseño,Estacion PI,21/Nov/2019,,[2650]
Strike Force - War on Terror,WFG \ Enigma Entertainment,Polygon Art,21/Nov/2019,,[2651]
Castle of no Escape 2,D.E.X. Team,QubicGames,22/Nov/2019,,[2652]
Monster Bugs Eat People,Noobz from Poland,QubicGames,22/Nov/2019,,[2653]
Marblelous Animals,Moad Studio,BLG Publishing,22/Nov/2019,,[2654]
Tiny Gladiators,,BoomBit Games,22/Nov/2019,,[2655]
Nonograms Prophecy,,No Gravity Games,22/Nov/2019,,[2656]
Rescue Tale,Bitecore,Bitecore,25/Nov/2019,,[2657]
Chameleon,Joyfulstar Inc,UFO Interactive,26/Nov/2019,,[2658]
Pine,Twirlbound,Kongregate,26/Nov/2019,BR,[2659]
Monster Jam Steel Titans,Rainbow Studios,THQ Nordic,26/Nov/2019,,[2660]
Real Heroes: Firefighter,Epicenter St. & Scientifically Proven Entert.,Golem Entertainment,27/Nov/2019,,[2661]
Story of a Gladiator,Brain Seal Entertainment,Brain Seal Entertainment,27/Nov/2019,,[2662]
Widget Satchel,Noble Robot,Noble Robot,27/Nov/2019,,[2663]
Gemstone Keeper,Gamepopper,Gamepopper,27/Nov/2019,,[2664]
Family Tennis SP,,Arc System Works,28/Nov/2019,,[2665]
Kissed by the Baddest Bidder,,Voltage,28/Nov/2019,,[2666]
Knowledge Trainer: Trivia,the binary family,the binary family,28/Nov/2019,,[2667]
Bowling,,Sabec,28/Nov/2019,,[2668]
Nyan Cat: Lost in Space,,isTom Games,28/Nov/2019,,[2669]
Decay of Logos,,Rising Star Games,28/Nov/2019,,[2670]
Electronic Super Joy,,Hard Copy Games,28/Nov/2019,,[2671]
One-Way Ticket,Light & Digital Technology,Zodiac Interactive,28/Nov/2019,,[2672]
Amazing Brick Breaker,,CFK,28/Nov/2019,,[2673]
Voxel Galaxy,SAT-BOX,SAT-BOX,28/Nov/2019,,[2674]
Skelittle: A Giant Party!,,Plug In Digital,28/Nov/2019,,[2675]
Professional Farmer: American Dream,UIG Entertainment,United Independent Entertainment,28/Nov/2019,,[2676]
TheNightfall,Pingle Studio,United Independent Entertainment,28/Nov/2019,,[2677]
Trover Saves The Universe,Squanch Games,Squanch Games,28/Nov/2019,,[2678]
Strike Force Kitty,Deqaf Studio,No Gravity Games,29/Nov/2019,,[2679]
Where the Water Tastes Like Wine,,Serenity Forge,29/Nov/2019,,[2680]
Five Nights at Freddy's,Clickteam,Clickteam,29/Nov/2019,,[2681]
Five Nights at Freddy's 2,Clickteam,Clickteam,29/Nov/2019,,[2682]
Five Nights at Freddy's 3,Clickteam,Clickteam,29/Nov/2019,,[2683]
Five Nights at Freddy's 4,Clickteam,Clickteam,29/Nov/2019,,[2684]
Happy Animals Bowling,Room710Games,Room710Games,29/Nov/2019,,[2685]
FoxyLand,BUG-Studio,Ratalaika Games,29/Nov/2019,,[2686]
Deathtrap Dungeon Trilog,,Nomad Games,29/Nov/2019,,[2687]
Chaos on Deponia,Daedalic Entertainment,Daedalic GmbH,29/Nov/2019,,[2688]
Get Me Outta Here,Rossman Bros Games,QubicGames,30/Nov/2019,,[2689]
SaGa Scarlet Grace: Ambitions,,Square Enix,03/Dez/2019,,[2690]
Heroland,FuRyu,Marvelous (XSEED),03/Dez/2019,,[2691]
Tools Up!,The Knights of Unity,All In! Games,03/Dez/2019,,[2692]
JigSaw Solace,Playstige Interactive,Playstige Interactive,03/Dez/2019,,[2693]
Neverwinter Nights: Enhanced Edition,Beamdog,Beamdog,03/Dez/2019,,[2694]
Simulacra,Kaigan Games,Wales Interactive,03/Dez/2019,,[2695]
EarthNight,Cleaversoft,Cleaversoft,03/Dez/2019,,[2696]
Farming Simulator 20,Giants Software,Focus Home Interactive,03/Dez/2019,,[2697]
Smash Rush,,isTom Games,05/Dez/2019,,[2698]
March to a Million,,Kairosoft,05/Dez/2019,,[2699]
Star Ocean First Departure R,,Square Enix,05/Dez/2019,,[2700]
NekoMiko,,qureate,05/Dez/2019,,[2701]
Must Dash Amigos,miniBeast,miniBeast,05/Dez/2019,,[2702]
Defenders of Ekron: Definitive Edition,In Vitro Games SpA,Chorus Worldwide Games,05/Dez/2019,,[2703]
Big Pharma,Positech Games,Klabater,05/Dez/2019,,[2704]
Tick Tock: A Tale for Two,,Other Tales Interactive,05/Dez/2019,,[2705]
Wizards of Brandel,Exe Create,Kemco,05/Dez/2019,,[2706]
Alien: Isolation,Feral Interactive Limited,Sega Europe,05/Dez/2019,,[2707]
Space Blaze,VIS-Games,United Independent Entertainment,05/Dez/2019,,[2708]
Assassin’s Creed: The Rebel Collection,,Ubisoft,06/Dez/2019,,[2709]
Breathing Fear,,Drageus Games,06/Dez/2019,,[2710]
Space Pioneer,Vivid Games,QubicGames,06/Dez/2019,,[2711]
Immortal Planet,teedoubleuGAMES,Monster Couch,06/Dez/2019,,[2712]
Ashen,A44,Annapurna Interactive,09/Dez/2019,,[2713]
Dauntless,Phoenix Labs,Phoenix Labs,10/Dez/2019,CP,[2714]
Riverbond,Cococucumber,Cococucumber,10/Dez/2019,,[2715]
Call of Juarez: Gunslinger,Techland,Techland,10/Dez/2019,,[2716]
Shovel Knight Showdown,Yacht Club Games,Yacht Club Games,10/Dez/2019,BR,[2717]
Shovel Knight: King of Cards,Yacht Club Games,Yacht Club Games,10/Dez/2019,BR,[2718]
The Talos Principle: Deluxe Edition,Croteam,Devolver Digital,10/Dez/2019,,[2719]
Blacksad: Under the Skin,Pendulo Studios,Microïds,10/Dez/2019,,[2720]
Football Manager Touch 2020,,Sega,10/Dez/2019,,[2721]
Steins;Gate: My Darling's Embrace,,Spike Chunsoft US,10/Dez/2019,,[2722]
Steins;Gate 0,MAGES. \ 5pb.,Spike Chunsoft US,10/Dez/2019,,[2723]
Fishing: Barents Sea Complete Edition,,astragon,10/Dez/2019,,[2724]
Jamestown+,Final Form Games,Final Form Games,12/Dez/2019,,[2725]
SuperEpic: The Entertainment War,,Numskull Games,12/Dez/2019,,[2726]
Cardpocalypse,Gambrinous,Versus Evil,12/Dez/2019,,[2727]
Gensou Skydrift,,Unties,12/Dez/2019,,[2728]
Event Horizon: Space Defense,,Drageus Games,13/Dez/2019,,[2729]
Dead End Job,Ant Workshop,Headup Games,13/Dez/2019,,[2730]
Jets'n'Guns,Rake in Grass,Rake in Grass,16/Dez/2019,,[2731]
Travel Mosaics: A Paris Tour,JetDogs Studios,JetDogs,16/Dez/2019,,[2732]
Rift Keeper,Sometimes You,Sometimes You,17/Dez/2019,,[2733]
bayala - the game,Independent Arts Software GmbH,EuroVideo Medien GmbH,19/Dez/2019,,[2734]
Dual Brain Vol.1: Calculation,,D-O,19/Dez/2019,,[2735]
Melbits World,Melbot Studios,Plug In Digital,19/Dez/2019,,[2736]
Mirror,,SakuraGame,19/Dez/2019,,[2737]
Super Trench Attack,Storybird,Storybird,19/Dez/2019,,[2738]
JDM Racing,Starkom,Nikita Alexeevich,19/Dez/2019,,[2739]
Kuukiyomi: Consider It!,G-MODE,G-MODE,19/Dez/2019,,[2740]
Farabel,Frogames,Drageus Games,20/Dez/2019,,[2741]
60 Parsecs!,Robot Gentleman,Robot Gentleman,20/Dez/2019,,[2742]
Regions of Ruin,,JanduSoft,23/Dez/2019,,[2743]
Sacred Stones,,CFK,23/Dez/2019,,[2744]
Pulstario,,Mokuzai Studio,23/Dez/2019,,[2745]
Goodbye Deponia,Daedalic Entertainment,Daedalic GmbH,23/Dez/2019,,[2746]
Princess Maker Go!Go! Princess,,CFK,23/Dez/2019,,[2747]
Down to Hell,Red Dev Studio,Ultimate Games,23/Dez/2019,,[2748]
Deponia Doomsday,Daedalic Entertainment,Daedalic GmbH,23/Dez/2019,,[2749]
Roombo: First Blood,,Samurai Punk,23/Dez/2019,,[2750]
2048 CAT,Millo Games,Millo Games,23/Dez/2019,,[2751]
Crazy Zen Mini Golf,Onteca,Onteca,23/Dez/2019,,[2752]
Mushroom Quest,,Drageus Games,23/Dez/2019,,[2753]
Rush Rally 3,Brownmonster Limited,Brownmonster,23/Dez/2019,,[2754]
Demon's Tilt,Flarb \ Wiznwar,Flarb,23/Dez/2019,,[2755]
DreamBall,,JanduSoft,23/Dez/2019,,[2756]
Princess Maker: Faery Tales Come True,,CFK,23/Dez/2019,,[2757]
Warhammer Quest 2: The End Times,Perchang,Chilled Mouse,23/Dez/2019,,[2758]
