Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Grass Cutter - Mutated Lawns,Sometimes You,Sometimes You,10/Jul/2019,,[754]
Grave Danger,Joindots,Joindots,28/Jun/2018,,[755]
Grave Keeper,Ultimate Games,Forever Entertainment,08/Ago/2019,,[756]
Graveyard Keeper,Lazy Bear Games,tinyBuild Games,27/Jun/2019,,[757]
Gravity Duck,Woblyware,Ratalaika Games,16/Ago/2019,,[758]
Green,Studio Green,Studio Green,02/Ago/2018,,[759]
Green Game: TimeSwapper,iFun4all,iFun4all,17/Nov/2017,,[760]
Greco’s Hall of Kanji: Learn Japanese - Beginner,media5 corporation.,media5,10/Abr/2019,,[761]
Grid Mania,FX Valley,QubicGames,02/Mar/2018,,[762]
GRIDD: Retroenhanced,Antab Studio,Kongregate,07/Jun/2018,,[763]
Grim Fandango Remastered,Double Fine Productions,Double Fine Productions,01/Nov/2018,,[764]
GRIP,Caged Element,Wired Productions,06/Nov/2018,,[765]
GRIS,Nomada Studio,Devolver Digital,13/Dez/2018,,[766]
Growtopia,Ubisoft,Ubisoft,18/Jul/2019,F2P,[767]
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,08/Out/2018,,[768]
Guacamelee! 2,DrinkBox Studios,DrinkBox Studios,10/Dez/2018,,[769]
Guess the Character,,JanduSoft,30/Dez/2018,,[770]
Guess the Word,,Ultimate Games,14/Fev/2019,,[771]
Guilt Battle Arena,Invincible Cat,ForwardXP,01/Mar/2018,,[772]
Guilty Gear,Arc System Works,Arc System Works,16/Mai/2019,,[773]
Guilty Gear XX Accent Core Plus R,Arc System Works,Arc System Works,16/Mai/2019,,[774]
Gunbarich for Nintendo Switch,Zerodiv Inc.,Zerodiv,03/Ago/2017,,[775]
Gunbird for Nintendo Switch,Zerodiv Inc.,Zerodiv,07/Dez/2017,,[776]
Gunbird 2 for Nintendo Switch,Zerodiv Inc.,Zerodiv,21/Jun/2018,,[777]
Gunhouse,Necrosoft Games,Other Ocean Interactive,15/Jan/2018,,[778]
Gunlord X,NGDEV,NGDEV,22/Mai/2019,,[779]
Gunman Clive HD Collection,Hörberg Productions,Hörberg Productions,17/Jan/2019,,[780]
Gunpowder on The Teeth: Arcade,Gunpowder Team / Forever Entertainment,Forever Entertainment,25/Jul/2019,,[781]
Guns of Mercy - Rangers Edition,Storybird,Storybird,10/Jan/2019,,[782]
"Guns, Gore and Cannoli",Crazy Monkey Studios,Crazy Monkey,21/Dez/2017,,[783]
"Guns, Gore and Cannoli 2",Crazy Monkey Studios,Crazy Monkey,02/Ago/2018,,[784]
Gurgamoth,The Quantum Astrophysicists Guild,QuantumAstroGuild,23/Ago/2019,,[785]
Guts & Glory,HakJak Productions,tinyBuild Games,19/Jul/2018,,[786]
Gym Hero - Idle Fitness Tycoon,,Ultimate Games,27/Abr/2019,,[787]
Gyro Boss DX,Chequered Ink,Chequered Ink,03/Mai/2019,,[788]
Hacky Zack,,Digerati,23/Ago/2018,,[789]
Halcyon 6: Starbase Commander,"Massive Damage, Inc.","Smiling Buddha Games, LLC",31/Jan/2019,,[790]
Halloween Pinball,,EnjoyUp Games,26/Out/2018,,[791]
Hammerwatch,Crackshell,BlitWorks,14/Dez/2017,,[792]
Hamsterdam,Muse Games,Muse Games,01/Ago/2019,,[793]
Hand Of Fate 2,Defiant Development,Defiant Development,17/Jul/2018,,[794]
Happy Birthdays,,NIS America,05/Jun/2018,,[795]
Happy Words,,LAN - GAMES EOOD,29/Mai/2019,,[796]
Hard West,CreativeForge Games S.A.,Forever Entertainment,07/Mar/2019,,[797]
Hardway Party,Wastelands Interactive,Wastelands,27/Set/2018,,[798]
Harvest Life,rokapublish GmbH,rokapublish,30/Nov/2018,,[799]
Harvest Moon: Light of Hope Special Edition,Natsume,Natsume,29/Mai/2018,,[800]
Has Been Heroes,Frozenbyte,Gametrust,28/Mar/2017,,[801]
Haunted Dungeons : Hyakki Castle,,Happinet Corporation,30/Ago/2018,,[802]
Headball Soccer Deluxe,,Cool Small Games,28/Jun/2019,,[803]
Heart&Slash,aheartfulofgames,Badland Games,22/Dez/2017,,[804]
Heave Ho,Le Cartel Studio,Devolver Digital,29/Ago/2019,,[805]
Hell Warders,Anti Gravity Game Studios,PQube,21/Fev/2019,,[806]
Hellblade: Senua's Sacrifice,Ninja Theory Ltd.,Ninja Theory Ltd.,11/Abr/2019,,[807]
Hellmut: The Badass from Hell,2tainment,2tainment,02/Mai/2019,,[808]
Hello Kitty Kruisers,Maestro Interactive,Rising Star Games,24/Abr/2018,,[809]
Hello Neighbor,Dynamic Pixels,tinyBuild Games,27/Jul/2018,,[810]
Hello Neighbor Hide and Seek,Dynamic Pixels,tinyBuild Games,07/Dez/2018,,[811]
